n;p;c;elapsed;mean_elapsed
1;1;1;[3, 3, 17, 3, 10, 9, 9, 9, 10, 10];8.3
1;1;2;[4, 9, 5, 5, 8, 4, 8, 5, 6, 8];6.2
1;1;4;[7, 7, 8, 10, 9, 9, 5, 8, 8, 8];7.9
1;1;8;[10, 9, 10, 10, 11, 9, 10, 11, 9, 9];9.8
1;2;1;[15, 25, 25, 7, 7, 9, 12, 14, 12, 13];13.9
1;4;1;[16, 14, 20, 19, 15, 30, 19, 17, 19, 21];19.0
1;8;1;[14, 21, 18, 16, 15, 17, 20, 22, 19, 18];18.0
2;1;1;[3, 13, 6, 27, 29, 3, 3, 4, 27, 11];12.6
2;1;2;[8, 5, 9, 5, 7, 5, 9, 8, 9, 8];7.3
2;1;4;[11, 8, 9, 10, 10, 10, 10, 10, 9, 10];9.7
2;1;8;[7, 10, 9, 10, 9, 10, 9, 9, 9, 10];9.2
2;2;1;[16, 25, 23, 20, 21, 20, 20, 11, 13, 14];18.3
2;4;1;[20, 19, 13, 24, 24, 10, 9, 14, 10, 17];16.0
2;8;1;[22, 27, 21, 19, 27, 28, 24, 29, 23, 13];23.3
4;1;1;[23, 17, 13, 10, 14, 13, 19, 17, 27, 15];16.8
4;1;2;[12, 14, 12, 11, 12, 11, 12, 13, 13, 13];12.3
4;1;4;[13, 11, 9, 13, 9, 5, 9, 12, 8, 6];9.5
4;1;8;[10, 11, 8, 10, 11, 9, 10, 12, 11, 12];10.4
4;2;1;[32, 40, 26, 38, 32, 37, 31, 32, 27, 32];32.7
4;4;1;[14, 12, 17, 19, 18, 14, 26, 32, 15, 35];20.2
4;8;1;[17, 16, 17, 22, 33, 23, 22, 22, 31, 15];21.8
16;1;1;[25, 86, 4, 64, 4, 68, 3, 5, 5, 4];26.8
16;1;2;[26, 24, 35, 32, 25, 20, 28, 31, 28, 29];27.8
16;1;4;[11, 7, 14, 11, 16, 14, 16, 15, 27, 32];16.3
16;1;8;[18, 15, 14, 13, 15, 16, 18, 17, 16, 18];16.0
16;2;1;[47, 101, 132, 109, 60, 9, 7, 8, 9, 8];49.0
16;4;1;[57, 56, 11, 14, 13, 13, 12, 13, 62, 19];27.0
16;8;1;[27, 33, 42, 24, 20, 33, 31, 30, 42, 32];31.4
32;1;1;[167, 12, 999, 240, 290, 240, 491, 22, 520, 17];299.8
32;1;2;[52, 103, 38, 133, 150, 133, 133, 97, 75, 134];104.8
32;1;4;[31, 36, 50, 12, 25, 34, 29, 26, 48, 31];32.2
32;1;8;[33, 31, 36, 24, 38, 29, 34, 26, 32, 31];31.4
32;2;1;[162, 22, 37, 44, 25, 26, 27, 20, 21, 30];41.4
32;4;1;[35, 133, 38, 26, 70, 133, 33, 58, 35, 22];58.3
32;8;1;[51, 42, 48, 47, 51, 106, 86, 52, 66, 69];61.8
